signal_number;date;side;signal;text;sources;;;;;;;;;;;;;;;;;;;;;
39;23 March 2022;R;R6;Peskov: A NATO mission in Ukraine would be “very reckless and extremely dangerous” and could have “consequences that would be hard to repair.” Lavrov: Everyone should try to avoid a “direct clash between the Russian and NATO armed forces.” Medvedev: Russia’s destruction could lead to nuclear war. Rogozin: Russia could destroy “any aggressor.”;"“Russia says sending international peacekeepers to Ukraine would be ‘very reckless’,” Reuters, March 23, 2022; “Lavrov: Sending peacekeepers could lead to clash,” Yahoo news, March 23, 2022
[https://sg.news.yahoo.com/lavrov-sending-peacekeepers-could-lead-141252453.html].
[https://www.reuters.com/world/moscow-says-sending-peacekeeping-troops-ukraine-may-lead-nato-russia-
2022-03-23/].";;;;;;;;;;;;;;;;;;;;;
40;23 March 2022;W;W2;Anonymous Biden administration official: Use of a tactical nuclear weapon in Ukraine would mean “all bets are off” regarding direct US intervention in the war. But nuclear use remains unlikely. ;"David E. Sanger et al., “U.S. Makes Contingency Plans in Case Russia Uses Its Most Powerful Weapons,” The New
York Times, March 23, 2022 [https://www.nytimes.com/2022/03/23/us/politics/biden-russia-nuclear-
weapons.html].";;;;;;;;;;;;;;;;;;;;;
41;23 March 2022;W;W6;Sullivan: There have been no Russian preparations.;"David E. Sanger et al., “U.S. Makes Contingency Plans in Case Russia Uses Its Most Powerful Weapons,” The New
York Times, March 23, 2022 [https://www.nytimes.com/2022/03/23/us/politics/biden-russia-nuclear-
weapons.html].";;;;;;;;;;;;;;;;;;;;;
42;23 March 2022;W;W3;France conducts test of nuclear-armed missile and deploys three of its four nuclear submarines.;"Tweet by @Armees_Gouv, Twitter, March 23, 2022
[https://twitter.com/Armees_Gouv/status/1506706444917383176]; Michaela Wiegel, “Frankreich schickt drei Atom-U-Boote zu Manövern (France sends three nuclear submarines
on maneuvers),” Frankfurter Allgemeine Zeitung, March 24, 2022
[https://www.faz.net/aktuell/politik/erhoehte-alarmbereitschaft-frankreich-schickt-drei-atom-u-boote-in-
manoever-17906079.html].";;;;;;;;;;;;;;;;;;;;;
43;23 March 2022;W;W2;Stoltenberg: „Any use of nuclear weapons will fundamentally change the nature of the conflict.”;"“Press conference by NATO Secretary General Jens Stoltenberg previewing the extraordinary Summit of NATO
Heads of State and Government,” Website of the North Atlantic Treaty Organization, March 23, 2022,
[https://www.nato.int/cps/en/natohq/opinions_193610.htm]; “Remarks by President Biden in Press Conference,” Website of the White House, March 24, 2022,
[https://www.whitehouse.gov/briefing-room/speeches-remarks/2022/03/24/remarks-by-president-biden-in-
press-conference-7/]";;;;;;;;;;;;;;;;;;;;;
44;25 March 2022;R;R6;Lavrov: Western sanctions were total war against Russia – meant to destroy, devastate, ruin, and suffocate Russia;"""Lavrov slams all-out sanctions spree, says West’s values ‘aren’t worth a red cent’,” TASS, March 25, 2022
[https://tass.com/politics/1427557].";;;;;;;;;;;;;;;;;;;;;
45;26 March 2022;R;R1;Medvedev: Russia could use nuclear weapons if its existence is threatened, even by conventional weapons.;"Daniel Boffey, “Russia reasserts right to use nuclear weapons in Ukraine,” The Guardian, March 26, 2022
[https://www.theguardian.com/world/2022/mar/26/russia-reasserts-right-to-use-nuclear-weapons-in-
ukraine-putin].";;;;;;;;;;;;;;;;;;;;;
46;28 March 2022;R;R1;Peskov: Any outcome of the special operation is “of course” not a reason to use nuclear weapons, only an existential threat would be. But: Everyone understands what Putin meant with his warning “not to interfere.” Does “not think” Putin would use nuclear weapons if a third country intervened in Ukraine. But: Russia has “all the possibilities” to punish such states.;"“Putin’s spokesman Dmitry Peskov on Ukraine and the West: ‘Don’t push us into the corner’,” YouTube account
of PBS NewsHour, March 29, 2022 [https://www.youtube.com/watch?v=6xHmgTRkn6M], and “No one in Russia
is thinking about using nuclear weapons, Kremlin spokesman says,” TASS, March 29, 2022
[https://tass.com/politics/1428619].";;;;;;;;;;;;;;;;;;;;;
47;28 March 2022;R;R8;Peskov: „No one is thinking about using, even about the idea of using a nuclear weapon.”;"“Putin’s spokesman Dmitry Peskov on Ukraine and the West: ‘Don’t push us into the corner’,” YouTube account
of PBS NewsHour, March 29, 2022 [https://www.youtube.com/watch?v=6xHmgTRkn6M], and “No one in Russia
is thinking about using nuclear weapons, Kremlin spokesman says,” TASS, March 29, 2022
[https://tass.com/politics/1428619].";;;;;;;;;;;;;;;;;;;;;
48;31 March 2022;W;W6;Senior Pentagon official: “No indication” Russia is preparing to use tactical nuclear weapons.;"“Senior Defense Official Holds a Background Briefing,” Website of the US Department of Defense, March 31,
2022 [https://www.defense.gov/News/Transcripts/Transcript/Article/2985309/senior-defense-official-holds-
a-background-briefing/].";;;;;;;;;;;;;;;;;;;;;
